"grade","gender","school","dose","season","pre","alcohol","tobacco","marijuana","drugs","sleep","meals","contracts","parentcontracts","longtermeffect","impactonperformance","athletictraining","drinkinginjury","damagemusclefibers","testosterone","adequatesleep","agesstrongly.disagreeagree_disagreeagree","beforestrongly.disagree6","brainmessages","simpletasks","lostpotential","athleticcontractchoice","teammateaccountability","contractcoaches","contractparents","clearcontracts","faircontracts","coachesserious","coachcares","coachesexpectations","coachteamissues","coachesunity","coachescontactparents","coachesavoidsubstanceuse","coachencouragessleep","healthybalancedmeals","parentshealthychoices","parentsavoidatod","parentssleep","parentseathealthy","parentsseecoachasimportant","parentsaddresssensitiveissues","communityatod","communitysleep","communityeatinghabits","communitycharacterbuilding","communityrespectfulbehavior","leadersatod","leaderssleep","leadershelpothers","leadersplayerssleep","leadersplayerseat","socialnormsatod","socialnormsenoughsleep","socialnormseating","socialnormslifestylechoices","socialnormscontracts","socialnormscoachimportant","socialnormssensitivetopics","socialnormsensitivecoach"
"9","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,6,2,2,5,5,5,5,5,5,1,4,4,4,5,5,1,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"11","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,5,3,1,4,4,2,2,4,4,4,2,2,4,2,2,2,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,2,4,4,2,4,2,4,2,4,4,4,2,2,2,2,2,2,4,2,4,4,4,2
"11","Female","Pinkerton",0,"Winter",1,1,1,1,1,2,6,3,3,5,5,5,5,5,4,1,4,4,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,2,5,1,4,1,5,1,1,2,4,1,4,2,4,2,2,2,1,2,4,5,5,5,5
"12","Female","Lebanon",0,"Winter",1,1,1,1,1,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"11","Female","Lebanon",0,"Winter",1,5,2,5,2,5,5,3,3,4,4,2,2,4,4,2,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4
"10","Male","Lebanon",0,"Winter",1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"10","Male","Lebanon",0,"Winter",1,1,1,1,1,1,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,2,1,5,5,5,5,5,5
"10","Male","Lebanon",0,"Winter",1,1,1,1,1,2,2,3,3,4,2,4,2,4,4,2,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,5,5,5,2,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,4,5,5,2,5,5,4,4
"10","Male","Lebanon",0,"Winter",1,1,1,1,1,2,7,3,3,1,2,4,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,5,5,4,2,5,4,4,4,4,4,2,4,4,2,2,2,2,4,4,4,2,2,2
"10","Male","Lebanon",0,"Winter",1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"10","Male","Lebanon",0,"Winter",1,1,1,1,1,7,7,3,3,5,5,5,5,5,5,1,4,4,4,5,5,1,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"10","Female","Pinkerton",0,"Winter",1,1,1,1,1,6,6,3,2,5,5,5,5,5,5,1,4,4,5,5,4,2,4,4,4,4,4,5,5,5,5,5,2,5,5,5,4,5,4,4,4,4,2,4,4,4,4,5,5,5,4,5,2,4,4,5,5,5,5,5
