compiler, opt, time, user, sys
icc, 3, 16.411, 59.893, 0.107
icc, 3, 15.475, 59.457, 0.027
icc, 3, 15.306, 59.700, 0.030
icc, 3, 15.571, 59.753, 0.023
icc, 3, 15.616, 59.020, 0.033
icc, 3, 15.522, 59.480, 0.013
icc, 3, 15.414, 59.390, 0.040
icc, 3, 15.505, 59.977, 0.060
icc, 2, 15.915, 60.003, 0.040
icc, 2, 15.823, 60.017, 0.040
icc, 2, 15.323, 59.813, 0.060
icc, 2, 15.485, 60.197, 0.027
icc, 2, 15.466, 60.567, 0.013
icc, 2, 15.408, 59.943, 0.023
icc, 2, 15.180, 59.247, 0.033
icc, 2, 15.744, 60.320, 0.037
icc, 0, 42.981, 164.307, 0.030
icc, 0, 42.618, 165.557, 0.067
icc, 0, 42.491, 164.787, 0.097
icc, 0, 42.528, 163.867, 0.047
icc, 0, 42.416, 163.360, 0.123
icc, 0, 47.199, 164.233, 0.103
icc, 0, 42.339, 164.047, 0.073
icc, 0, 42.895, 166.420, 0.060
icc, 1, 16.257, 62.353, 0.063
icc, 1, 15.956, 62.190, 0.057
icc, 1, 16.007, 61.717, 0.067
icc, 1, 17.115, 63.553, 0.113
icc, 1, 16.285, 63.780, 0.040
icc, 1, 15.881, 62.360, 0.017
icc, 1, 16.572, 63.540, 0.027
icc, 1, 16.690, 62.837, 0.110
clang, 2, 36.815, 36.793, 0.000
clang, 2, 36.820, 36.793, 0.003
clang, 2, 37.461, 37.430, 0.010
clang, 2, 36.971, 36.950, 0.000
clang, 2, 37.459, 37.437, 0.000
clang, 2, 36.514, 36.493, 0.000
clang, 2, 36.661, 36.640, 0.000
clang, 2, 36.990, 36.967, 0.000
clang, 1, 38.520, 38.483, 0.000
clang, 1, 37.337, 37.317, 0.000
clang, 1, 36.721, 36.697, 0.000
clang, 1, 37.036, 37.010, 0.000
clang, 1, 37.400, 37.340, 0.017
clang, 1, 37.381, 37.360, 0.000
clang, 1, 37.382, 37.360, 0.000
clang, 1, 35.440, 35.410, 0.000
clang, 0, 87.237, 87.173, 0.003
clang, 0, 85.195, 85.137, 0.013
clang, 0, 88.115, 88.023, 0.033
clang, 0, 85.476, 85.393, 0.023
clang, 0, 91.308, 91.240, 0.010
clang, 0, 89.543, 89.490, 0.000
clang, 0, 89.422, 89.370, 0.000
clang, 0, 89.732, 89.680, 0.000
clang, 3, 36.911, 36.890, 0.000
clang, 3, 36.743, 36.720, 0.003
clang, 3, 36.947, 36.927, 0.000
clang, 3, 37.161, 37.137, 0.000
clang, 3, 37.096, 37.067, 0.000
clang, 3, 37.148, 37.103, 0.000
clang, 3, 39.649, 39.620, 0.007
clang, 3, 38.920, 38.767, 0.093
gcc, 3, 14.427, 50.660, 0.580
gcc, 3, 14.572, 50.357, 0.483
gcc, 3, 14.988, 49.977, 0.627
gcc, 3, 15.219, 49.967, 0.150
gcc, 3, 18.322, 49.267, 0.070
gcc, 3, 17.147, 49.317, 0.137
gcc, 3, 16.463, 49.870, 0.063
gcc, 3, 16.238, 49.677, 0.123
gcc, 0, 39.529, 138.217, 0.207
gcc, 0, 37.495, 139.420, 0.213
gcc, 0, 41.061, 136.140, 0.227
gcc, 0, 40.604, 140.877, 1.000
gcc, 0, 36.414, 140.687, 0.057
gcc, 0, 37.093, 141.790, 0.043
gcc, 0, 36.511, 141.030, 0.130
gcc, 0, 36.688, 141.560, 0.093
gcc, 1, 15.610, 59.290, 0.027
gcc, 1, 15.552, 58.867, 0.063
gcc, 1, 15.587, 59.197, 0.077
gcc, 1, 15.473, 59.050, 0.043
gcc, 1, 15.581, 59.167, 0.043
gcc, 1, 15.442, 58.997, 0.030
gcc, 1, 15.544, 58.707, 0.040
gcc, 1, 15.600, 59.120, 0.037
gcc, 2, 16.015, 58.413, 0.037
gcc, 2, 15.348, 58.660, 0.040
gcc, 2, 16.608, 58.663, 0.027
gcc, 2, 20.612, 57.360, 0.077
gcc, 2, 20.495, 57.423, 0.080
gcc, 2, 20.209, 57.280, 0.060
gcc, 2, 20.825, 56.930, 0.093
gcc, 2, 20.984, 57.440, 0.053
